unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1672812000,2023-01-04 06:00:00,ETH/USD,1247.5,1251.0,1246.9,1249.6,134.87531745,168540.19668552
1672826400,2023-01-04 10:00:00,ETH/USD,1249.5,1249.7,1248.6,1249.4,182.94058784,228565.970447296
1672840800,2023-01-04 14:00:00,ETH/USD,1253.3,1254.7,1249.0,1250.5,586.92502742,733949.74678871
1672855200,2023-01-04 18:00:00,ETH/USD,1260.1,1267.4,1257.9,1263.0,651.77540877,823192.34127651
1672869600,2023-01-04 22:00:00,ETH/USD,1252.5,1256.9,1252.1,1253.3,450.22208492,564263.339030236
1672884000,2023-01-05 02:00:00,ETH/USD,1254.1,1254.3,1252.4,1253.4,87.4809542,109648.62799428
1672898400,2023-01-05 06:00:00,ETH/USD,1253.0,1253.5,1248.9,1250.7,106.46258072,133152.74970650402
1672912800,2023-01-05 10:00:00,ETH/USD,1248.2,1252.2,1248.2,1251.1,178.86088892,223772.858127812
1672927200,2023-01-05 14:00:00,ETH/USD,1246.2,1250.0,1242.2,1247.7,1026.15282884,1280330.884543668
1672941600,2023-01-05 18:00:00,ETH/USD,1246.9,1251.3,1246.7,1251.0,206.04651841,257764.19453091
1672956000,2023-01-05 22:00:00,ETH/USD,1252.1,1252.3,1250.0,1250.3,44.65568713,55833.00561863899
1672970400,2023-01-06 02:00:00,ETH/USD,1250.9,1251.6,1247.7,1251.6,163.44686971,204570.102129036
1672984800,2023-01-06 06:00:00,ETH/USD,1249.2,1249.2,1245.6,1247.2,87.16312846,108709.853815312
1672999200,2023-01-06 10:00:00,ETH/USD,1247.8,1248.0,1244.1,1244.7,156.97948042,195392.359278774
1673013600,2023-01-06 14:00:00,ETH/USD,1250.4,1252.8,1246.0,1247.8,1177.27646246,1469005.5698575878
1673028000,2023-01-06 18:00:00,ETH/USD,1263.2,1269.0,1263.2,1266.3,287.838201,364489.5139263001
